"BLOCK"	"State"	"St_Block"	"Effort80"	"Occ80"	"CAWA_year80"	"X90year80"	"Effort00"	"Occ00"	"CAWA_year00"	"X90year00"	"Priors80"	"Priors00"	"pfor"	"ele"	"ele2"	"edge"	"edge_resid"	"lat"	"long"	"Block_I"	"dif80"	"dif00"	"acov"	"neigh"	"sites"	"cawa00"	"cawa80"
"2820"	"4990B"	"NY"	"NY_4990B"	11.5	1	1985	1985	18.4	1	2005	0	0.625	0.75	0.951915	2869	8231161	0	-43479.0553489375	44.3227677102	-74.9682880918	49902	0	2005	0.685281448742769	0.685281448742769	"4990"	NA	1
"2819"	"4990A"	"NY"	"NY_4990A"	26	1	1983	1983	9	0	0	0	0	0	0.915021	2255	5085025	0	-44912.5476525694	44.322767628	-75.0309941213	49901	0	0	0.614450051944984	0.614450051944984	"4990"	NA	1
"2667"	"4890B"	"NY"	"NY_4890B"	56	0	0	0	12	1	2002	0	0	0.75	0.921386	1935	3744225	0	-44665.2397295299	44.3227330351	-75.0936999444	48902	0	2002	0.616744185121262	0.616744185121262	"4890"	NA	NA
"3642"	"5490A"	"NY"	"NY_5490A"	30	0	0	0	8.5	0	0	2003	0	0	0.672237	3690	13616100	0	-54345.7616018556	44.3212156953	-74.4039450132	54901	0	-2003	0.521762663649939	0.521762663649939	"5490"	0	NA
"2666"	"4890A"	"NY"	"NY_4890A"	24	1	1983	0	5	0	0	0	0	0	0.939456	1718	2951524	0	-43963.1416667927	44.3226640219	-75.1564055992	48901	1983	0	0.512984222339527	0.512984222339527	"4890"	NA	NA
"2526"	"4790B"	"NY"	"NY_4790B"	14	1	1983	0	10	0	0	2004	0	0	0.636469	1327	1760929	0	-55735.5039099899	44.3225605903	-75.2191109719	47902	1983	-2004	0.433045486803984	0.433045486803984	"4790"	0	NA
"2525"	"4790A"	"NY"	"NY_4790A"	22	1	1983	1983	11.5	0	0	2004	0	0	0.700777	1381	1907161	0	-53236.8585188163	44.322422843	-75.2818158085	47901	0	-2004	0.408128468776732	0.408128468776732	"4790"	0	1
"2393"	"4690B"	"NY"	"NY_4690B"	30	0	0	1983	10.5	1	2004	2004	0	0.75	0.730227	1302	1695204	0	-52092.59797938	44.3222507393	-75.34451996	46902	-1983	0	0.321353556223723	0.321353556223723	"4690"	1	0
"3643"	"5490B"	"NY"	"NY_5490B"	144	0	0	0	7.2	0	0	2003	0	0	0.410736	3596	12931216	0	-64506.2123768338	44.3208702744	-74.3412449007	54902	0	-2003	0.460356418653673	0.460356418653673	"5490"	NA	NA
"2392"	"4690A"	"NY"	"NY_4690A"	5	0	0	1985	7	0	0	2004	0	0	0.663381	853	727609	0	-54689.855704988	44.3220442168	-75.4072234917	46901	-1985	-2004	0.204499947967879	0.204499947967879	"4690"	0	0
"2269"	"4590B"	"NY"	"NY_4590B"	15	0	0	0	14	0	0	0	0	0	0.317049	563	316969	0	-68146.3596487578	44.3218032602	-75.4699263036	45902	0	0	0.106534844206794	0.106534844206794	"4590"	NA	NA
"2268"	"4590A"	"NY"	"NY_4590A"	14	0	0	1982	11.5	0	0	0	0	0	0.348768	485	235225	0	-66913.9385944156	44.3215272387	-75.532628808	45901	-1982	0	0.0565763383796247	0.0565763383796247	"4590"	NA	NA
"3817"	"5590A"	"NY"	"NY_5590A"	18	1	1982	0	51.5	0	0	0	0.125	0	0.836199	3827	14645929	0	-47975.1250460988	44.3204904262	-74.2785459592	55901	1982	0	0.472718084516963	0.472718084516963	"5590"	NA	NA
"2152"	"4490B"	"NY"	"NY_4490B"	11.5	0	0	0	72	0	0	0	0	0	0.526978	413	170569	0	-59989.7052927882	44.3212162002	-75.5953308641	44902	0	0	0	0	"4490"	NA	NA
"3818"	"5590B"	"NY"	"NY_5590B"	27.5	0	0	0	75	0	0	0	0	0	0.85353	4024	16192576	0	-47301.7403463035	44.3200756552	-74.2158481105	55902	0	0	0.601374891147382	0.601374891147382	"5590"	NA	NA
"2151"	"4490A"	"NY"	"NY_4490A"	4	0	0	0	12	0	0	2003	0	0	0.640095	352	123904	0	-55594.6180452702	44.3208707462	-75.6580318532	44901	0	-2003	0	0	"4490"	0	NA
"5102"	"6290B"	"NY"	"NY_6290B"	55.5	0	0	0	31	0	0	0	0	0	0.166565	2424	5875776	4999.96	-68993.3573063645	44.3106785925	-73.3382807579	62902	0	0	0.457683604923488	0.457683604923488	"6290"	NA	NA
"5101"	"6290A"	"NY"	"NY_6290A"	74.5	1	1982	0	22	0	0	0	0.125	0	0.536059	124	15376	0	-59636.8689614259	44.3115724604	-73.400948025	62901	1982	0	0.376483544344475	0.376483544344475	"6290"	NA	NA
"3999"	"5690A"	"NY"	"NY_5690A"	72.5	1	1981	0	24	0	0	0	0	0	0.558494	3708	13749264	0	-58765.1716710268	44.3196260057	-74.1531515588	56901	1981	0	0.614025320930898	0.614025320930898	"5690"	NA	NA
"2039"	"4390B"	"NY"	"NY_4390B"	32	0	0	1983	8	0	0	0	0	0	0.69068	207	42849	0	-53629.1708674304	44.3204908577	-75.7207316028	43902	-1983	0	0	0	"4390"	NA	0
"4967"	"6190B"	"NY"	"NY_6190B"	22.5	1	1984	0	22	0	0	0	0.375	0	0.654701	640	409600	0	-55027.111442927	44.3124319664	-73.4636181415	61902	1984	0	0.400152376740744	0.400152376740744	"6190"	NA	NA
"4966"	"6190A"	"NY"	"NY_6190A"	23	0	0	0	27.5	0	0	0	0	0	0.861031	1109	1229881	0	-47010.2938842896	44.3132570548	-73.52629106	61901	0	0	0.506465236096696	0.506465236096696	"6190"	NA	NA
"2038"	"4390A"	"NY"	"NY_4390A"	20	0	0	1981	7	0	0	0	0	0	0.421206	5305	28143025	751.7621	-63347.6452565317	44.3200760781	-75.783428505	43901	-1981	0	0	0	"4390"	NA	NA
"4000"	"5690B"	"NY"	"NY_5690B"	65	1	1981	0	31	0	0	0	0.125	0	0.809822	4034	16273156	0	-48999.9861750872	44.3191419467	-74.0904565157	56902	1981	0	0.558847832620111	0.558847832620111	"5690"	NA	NA
"4778"	"6090B"	"NY"	"NY_6090B"	6	0	0	1982	19.5	1	2000	0	0	0.75	0.914227	2506	6280036	0	-44943.3980046343	44.3140477238	-73.5889666828	60902	-1982	2000	0.579679405333679	0.579679405333679	"6090"	NA	0
"4777"	"6090A"	"NY"	"NY_6090A"	20	0	0	0	18	0	0	2001	0	0	0.956548	5005	25050025	0	-43299.0431560951	44.3148040128	-73.6516448243	60901	0	-2001	0.714090128358204	0.714090128358204	"6090"	0	NA
"4184"	"5790A"	"NY"	"NY_5790A"	11	0	0	1981	4	0	0	2000	0	0	0.908744	4981	24810361	0	-45156.4363930122	44.3186235369	-74.0277630965	57901	-1981	-2000	0.589045870192405	0.589045870192405	"5790"	0	0
"4580"	"5990B"	"NY"	"NY_5990B"	56.5	1	1981	0	16	0	0	0	0	0	0.931022	4147	17197609	0	-44290.8392352003	44.3155259218	-73.714325367	59902	1981	0	0.60883649409692	0.60883649409692	"5990"	NA	NA
"1933"	"4290B"	"NY"	"NY_4290B"	7	0	0	1984	26	0	0	2004	0	0	0.314776	178	31684	0	-68234.6755810545	44.3196263851	-75.8461225481	42902	-1984	-2004	0	0	"4290"	NA	NA
"4579"	"5990A"	"NY"	"NY_5990A"	43.5	1	1983	0	19	0	0	0	0.125	0	0.89074	2272	5161984	0	-45855.970068802	44.3162137314	-73.7770085085	59901	1983	0	0.539643547735363	0.539643547735363	"5990"	NA	NA
"4382"	"5890B"	"NY"	"NY_5890B"	1	0	0	0	19.5	0	0	0	0	0	0.941522	4978	24780484	0	-43882.8685844675	44.3168674826	-73.8396941485	58902	0	0	0.400606835908898	0.400606835908898	"5890"	NA	NA
"4381"	"5890A"	"NY"	"NY_5890A"	13	0	0	0	49.5	0	0	0	0	0	0.890352	4852	23541904	0	-45871.0455557052	44.3174868645	-73.9023818682	58901	0	0	0.321382191912484	0.321382191912484	"5890"	NA	NA
"4185"	"5790B"	"NY"	"NY_5790B"	11	0	0	0	31	1	2000	2000	0	0.5	0.626586	4540	20611600	0	-56119.5014281987	44.3180718539	-73.9650715378	57902	0	0	0.3784850388995	0.3784850388995	"5790"	1	NA
"1932"	"4290A"	"NY"	"NY_4290A"	5	0	0	1984	9.5	0	0	0	0	0	0.318461	5225	27300625	0	-68091.4973098211	44.319142288	-75.9088150678	42901	-1984	0	0	0	"4290"	NA	NA
"1829"	"4190B"	"NY"	"NY_4190B"	8	0	0	0	23	0	0	0	0	0	0.332326	5117	26183689	0	-67552.7817791154	44.3186238284	-75.9715059366	41902	0	0	0	0	"4190"	NA	NA
"1828"	"4190A"	"NY"	"NY_4190A"	18	0	0	0	69	0	0	0	0	0	0.263841	5106	26071236	0	-70213.7217805853	44.3180717556	-76.0341947269	41901	0	0	0	0	"4190"	NA	NA
"1725"	"4090B"	"NY"	"NY_4090B"	9	0	0	1985	12.5	0	0	2001	0	0	0.050171	4995	24950025	9999.87	-68515.8602512588	44.3174860619	-76.0968813642	40902	-1985	-2001	0	0	"4090"	NA	NA
"3141"	"5190C"	"NY"	"NY_5190C"	13	1	1985	0	9	1	2005	2005	0.25	0.75	0.903391	3237	10478169	0	-45364.4237161905	44.277545471	-74.7803371669	51903	1985	0	0.609104249092326	0.609104249092326	"5190"	1	NA
"3142"	"5190D"	"NY"	"NY_5190D"	72	1	1981	0	14.5	0	0	2004	0.125	0	0.858911	3560	12673600	0	-47092.6651013899	44.2774078469	-74.7176793486	51904	1981	-2004	0.604145700882728	0.604145700882728	"5190"	0	NA
"3306"	"5290C"	"NY"	"NY_5290C"	45.5	1	1984	0	17	1	2004	0	0.25	0.625	0.84948	3651	13329801	0	-47459.1004544433	44.2772357385	-74.6550217056	52903	1984	2004	0.678504289802415	0.678504289802415	"5290"	NA	NA
"2981"	"5090D"	"NY"	"NY_5090D"	2	1	1985	1985	7.5	1	2005	2005	0.25	0.625	0.944135	3224	10394176	0	-43781.3421739566	44.2776486582	-74.8429950776	50904	0	0	0.673253664824361	0.673253664824361	"5090"	1	1
"3307"	"5290D"	"NY"	"NY_5290D"	28	1	1984	0	7.5	1	2005	2005	0.25	0.625	0.869301	3807	14493249	0	-46688.9684289029	44.2770292658	-74.5923646785	52904	1984	0	0.692058346419391	0.692058346419391	"5290"	1	NA
"3474"	"5390C"	"NY"	"NY_5390C"	17	1	1984	0	30	1	2005	0	0.25	0.75	0.914551	4108	16875664	0	-44930.8091959831	44.2767884214	-74.5297083937	53903	1984	2005	0.543816732699007	0.543816732699007	"5390"	NA	NA
"2980"	"5090C"	"NY"	"NY_5090C"	22	1	1983	1983	19.5	0	0	0	0	0	0.942374	3287	10804369	0	-43849.7646802366	44.2777174776	-74.9056532632	50903	0	0	0.674116251273513	0.674116251273513	"5090"	NA	1
"3475"	"5390D"	"NY"	"NY_5390D"	13	0	0	0	6.5	1	2003	2003	0	0.625	0.734441	3711	13771521	0	-51928.8657582193	44.2765128224	-74.4670536358	53904	0	0	0.470597989166881	0.470597989166881	"5390"	1	NA
"2822"	"4990D"	"NY"	"NY_4990D"	4	1	1984	1984	6.4	0	0	0	0.375	0	0.94834	2942	8655364	0	-43617.959641925	44.2777519298	-74.9683116156	49904	0	0	0.655880098048026	0.655880098048026	"4990"	NA	1
"2821"	"4990C"	"NY"	"NY_4990C"	20	0	0	1985	9	1	2005	2005	0	0.75	0.946501	2792	7795264	0	-43689.4127873248	44.2777519418	-75.0309697809	49903	-1985	0	0.645282760432385	0.645282760432385	"4990"	1	0
"2669"	"4890D"	"NY"	"NY_4890D"	14	0	0	0	9	0	0	2004	0	0	0.909571	2310	5336100	0	-45124.3038474735	44.2777174911	-75.0936276452	48904	0	-2004	0.549989328773193	0.549989328773193	"4890"	0	NA
"2668"	"4890C"	"NY"	"NY_4890C"	21	1	1984	1984	9	0	0	2004	0.25	0	0.922437	2012	4048144	0	-44624.403810109	44.277648674	-75.1562853415	48903	0	-2004	0.449137707292768	0.449137707292768	"4890"	0	1
"3644"	"5490C"	"NY"	"NY_5490C"	4	0	0	0	8.5	1	2003	2003	0	0.875	0.858762	3805	14478025	0	-47098.4543991956	44.2762024964	-74.4044004704	54903	0	0	0.408838160137401	0.408838160137401	"5490"	1	NA
"2528"	"4790D"	"NY"	"NY_4790D"	18	0	0	1984	9	0	0	2004	0	0	0.831582	1491	2223081	0	-48154.5155693781	44.2775454909	-75.2189427553	47904	-1984	-2004	0.543373070620299	0.543373070620299	"4790"	0	0
"2527"	"4790C"	"NY"	"NY_4790C"	19	0	0	1985	8.5	1	2004	2004	0	0.625	0.820164	1506	2268036	0	-48598.1545112892	44.2774079637	-75.2815994649	47903	-1985	0	0.493536457020539	0.493536457020539	"4790"	1	0
"2395"	"4690D"	"NY"	"NY_4690D"	3	0	0	1985	8.5	0	0	2004	0	0	0.767213	1309	1713481	0	-50655.5310757608	44.2772360524	-75.3442553224	46904	-1985	-2004	0.426491378174081	0.426491378174081	"4690"	0	0
"3645"	"5490D"	"NY"	"NY_5490D"	32.5	1	1984	1984	10	0	0	2003	0.125	0	0.610529	3676	13512976	0	-56743.3856890383	44.2758578138	-74.3417483672	54904	0	-2003	0.260204448764144	0.260204448764144	"5490"	0	1
"2394"	"4690C"	"NY"	"NY_4690C"	26	1	1984	0	5.5	0	0	2004	0.125	0	0.536068	1094	1196836	0	-59636.5192722967	44.277029776	-75.406910562	46903	1984	-2004	0.23376454316701	0.23376454316701	"4690"	0	NA
"2271"	"4590D"	"NY"	"NY_4590D"	27	0	0	0	5.5	0	0	2004	0	0	0.495665	818	669124	0	-61206.3514819687	44.2767891226	-75.469565083	45904	0	-2004	0.173110822178932	0.173110822178932	"4590"	NA	NA
"2270"	"4590C"	"NY"	"NY_4590C"	80.5	0	0	0	12.5	0	0	0	0	0	0.297349	652	425104	0	-68911.7902982278	44.2765134264	-75.532219429	45903	0	0	0.0669233338585136	0.0669233338585136	"4590"	NA	NA
"3819"	"5590C"	"NY"	"NY_5590C"	67	0	0	0	22	0	0	0	0	0	0.713795	3761	14145121	0	-52731.052620603	44.2754787566	-74.2790974307	55903	0	0	0.490523722865019	0.490523722865019	"5590"	NA	NA
"3820"	"5590D"	"NY"	"NY_5590D"	58	0	0	0	55.5	0	0	0	0	0	0.792689	3585	12852225	0	-49665.67771404	44.2750646338	-74.2164474692	55904	0	0	0.618310374089398	0.618310374089398	"5590"	NA	NA
"2154"	"4490D"	"NY"	"NY_4490D"	19	0	0	1985	12	0	0	0	0	0	0.447937	540	291600	0	-63060.7917884615	44.2762027328	-75.5948734598	44904	-1985	0	0	0	"4490"	NA	NA
"5104"	"6290D"	"NY"	"NY_6290D"	35	1	1980	0	28.5	0	0	0	0	0	0.355045	4916	24167056	4999.96	-61670.0898539728	44.2656825539	-73.3395480772	62904	1980	0	0.543579580851516	0.543579580851516	"6290"	NA	NA
"5103"	"6290C"	"NY"	"NY_6290C"	53	1	1982	0	34.5	0	0	0	0.25	0	0.408149	186	34596	0	-64606.7285743048	44.2665749138	-73.4021675567	62903	1982	0	0.530961882456928	0.530961882456928	"6290"	NA	NA
"2153"	"4490C"	"NY"	"NY_4490C"	3.5	0	0	1985	3	0	0	0	0	0	0.540009	462	213444	0	-59483.394288055	44.2758576773	-75.6575264267	44903	-1985	0	0	0	"4490"	NA	0
"4001"	"5690C"	"NY"	"NY_5690C"	92	1	1981	0	669	0	0	0	0	0	0.747158	3609	13024881	0	-51434.7550186604	44.2746154913	-74.153798691	56903	1981	0	0.644164721544817	0.644164721544817	"5690"	NA	NA
"4969"	"6190D"	"NY"	"NY_6190D"	15.5	0	0	0	39.5	0	0	0	0	0	0.795455	1002	1004004	0	-49558.2065883327	44.267432963	-73.4647898781	61904	0	0	0.545580654209576	0.545580654209576	"6190"	NA	NA
"2041"	"4390D"	"NY"	"NY_4390D"	19	0	0	1985	9.5	0	0	0	0	0	0.68136	259	67081	0	-53991.2933878904	44.2754782486	-75.7201781665	43904	-1985	0	0	0	"4390"	NA	0
"4968"	"6190C"	"NY"	"NY_6190C"	27	0	0	0	43	0	0	0	0	0	0.763936	1009	1018081	0	-50782.8567731371	44.2682566708	-73.5274150231	61903	0	0	0.553879465568297	0.553879465568297	"6190"	NA	NA
"4002"	"5690D"	"NY"	"NY_5690D"	50.5	1	1984	0	133.5	1	2001	0	0.75	0.875	0.890492	4351	18931201	0	-45865.6059470288	44.2741319931	-74.0911514173	56904	1984	2001	0.639004902074891	0.639004902074891	"5690"	NA	NA
"4780"	"6090D"	"NY"	"NY_6090D"	12	0	0	1982	24	0	0	0	0	0	0.881936	1865	3478225	0	-46198.0437458545	44.2690460372	-73.5900428974	60904	-1982	0	0.56173978112395	0.56173978112395	"6090"	NA	0
"2040"	"4390C"	"NY"	"NY_4390C"	12.5	0	0	0	23	0	0	0	0	0	0.572842	267	71289	1683.06151	-56524.6279803874	44.2750640987	-75.7828268812	43903	0	0	0	0	"4390"	NA	NA
"4779"	"6090C"	"NY"	"NY_6090C"	22	1	1984	0	21.5	1	2001	0	0.625	0.875	0.968783	4873	23746129	0	-42823.6602121222	44.2698010762	-73.6526732848	60903	1984	2001	0.563163116639309	0.563163116639309	"6090"	NA	NA
"4582"	"5990D"	"NY"	"NY_5990D"	62	1	1983	0	10.5	0	0	0	0.375	0	0.977161	4984	24840256	0	-42498.1384871851	44.2705217859	-73.7153060677	59904	1983	0	0.537627113898273	0.537627113898273	"5990"	NA	NA
"4186"	"5790C"	"NY"	"NY_5790C"	48	1	1980	0	45.5	1	2005	0	0	1	0.878309	4426	19589476	0	-46338.9684649219	44.2736141898	-74.0285057575	57903	1980	2005	0.589046979948619	0.589046979948619	"5790"	NA	NA
"4581"	"5990C"	"NY"	"NY_5990C"	47	1	1983	0	74.5	0	0	0	0.25	0	0.876045	2965	8791225	0	-46426.9347080894	44.2712084335	-73.7779415467	59903	1983	0	0.483907601218756	0.483907601218756	"5990"	NA	NA
"1935"	"4290D"	"NY"	"NY_4290D"	9.5	0	0	1984	12.5	0	0	2003	0	0	0.353781	326	106276	0	-66719.1617494515	44.2746151961	-75.8454725519	42904	-1984	-2003	0	0	"4290"	NA	NA
"4384"	"5890D"	"NY"	"NY_5890D"	2	0	0	1982	25	0	0	0	0	0	0.912673	4386	19236996	0	-45003.7776609427	44.2718610539	-73.8405796239	58904	-1982	0	0.42648861938624	0.42648861938624	"5890"	NA	0
"4383"	"5890C"	"NY"	"NY_5890C"	19.5	1	1983	1983	21	0	0	0	0	0	0.955453	4975	24750625	0	-43341.5886668144	44.2724793515	-73.9032197752	58903	0	0	0.275709249815183	0.275709249815183	"5890"	NA	1
"4187"	"5790D"	"NY"	"NY_5790D"	8.5	0	0	0	43.6	1	2000	0	0	0.625	0.594221	4237	17952169	0	-57377.0223911478	44.2730633161	-73.9658618668	57904	0	2000	0.461817599801046	0.461817599801046	"5790"	NA	NA
"1934"	"4290C"	"NY"	"NY_4290C"	10.5	0	0	0	12.5	0	0	0	0	0	0.383848	197	38809	0	-65550.9280774912	44.2741319432	-75.9081167037	42903	0	0	0	0	"4290"	NA	NA
"1831"	"4190D"	"NY"	"NY_4190D"	7	0	0	0	10	0	0	0	0	0	0.352537	5241	27468081	0	-66767.4965579764	44.2736143729	-75.9707592185	41904	0	0	0	0	"4190"	NA	NA
"1830"	"4190C"	"NY"	"NY_4190C"	7	0	0	1985	98	0	0	0	0	0	0.103718	5073	25735329	0	-76435.1964955648	44.2730632635	-76.0333998005	41903	-1985	0	0	0	"4190"	NA	NA
"1727"	"4090D"	"NY"	"NY_4090D"	40	0	0	0	52.5	0	0	0	0	0	0.265561	5097	25979409	0	-70146.8923025605	44.2724786209	-76.0960383695	40904	0	0	0	0	"4090"	NA	NA
"1726"	"4090C"	"NY"	"NY_4090C"	8	0	0	1985	12	0	0	2001	0	0	0.123637	5016	25160256	9999.83	-65661.4267439508	44.2718596466	-76.1586749892	40903	-1985	-2001	0	0	"4090"	NA	NA
"3135"	"5189A"	"NY"	"NY_5189A"	16	0	0	1984	25	1	2002	0	0	0.25	0.949172	3552	12616704	0	-43585.6328246479	44.2325295779	-74.7805034361	51891	-1984	2002	0.667045364441066	0.667045364441066	"5189"	NA	0
"3136"	"5189B"	"NY"	"NY_5189B"	16	1	1985	1985	13	1	2004	0	0.25	0.75	0.896102	3618	13089924	0	-45647.6330564944	44.2323921108	-74.7178934966	51892	0	2004	0.60910487182802	0.60910487182802	"5189"	NA	1
"3300"	"5289A"	"NY"	"NY_5289A"	19	0	0	0	153.5	0	0	0	0	0	0.770327	3490	12180100	0	-50534.5386370577	44.2322203118	-74.6552838351	52891	0	0	0.796775211391899	0.796775211391899	"5289"	NA	NA
"2975"	"5089B"	"NY"	"NY_5089B"	31	0	0	0	4	0	0	0	0	0	0.856202	3297	10870209	0	-47197.921529279	44.232632713	-74.8431135745	50892	0	0	0.710002349325324	0.710002349325324	"5089"	NA	NA
"3301"	"5289B"	"NY"	"NY_5289B"	30	1	1985	0	30	0	0	0	0.625	0	0.882766	3702	13704804	0	-46165.7946372728	44.2320142021	-74.5926747867	52892	1985	0	0.67764236738304	0.67764236738304	"5289"	NA	NA
"3468"	"5389A"	"NY"	"NY_5389A"	47.5	1	1980	0	10.5	0	0	0	0	0	0.784182	3716	13808656	0	-49996.2116498289	44.2317737781	-74.530066472	53891	1980	0	0.561758980446862	0.561758980446862	"5389"	NA	NA
"2974"	"5089A"	"NY"	"NY_5089A"	18	1	1985	1985	8.3	1	2001	0	0.625	0.5	0.92743	3386	11464996	0	-44430.4040520986	44.2327015346	-74.9057239891	50891	0	2001	0.649105112274037	0.649105112274037	"5089"	NA	1
"3469"	"5389B"	"NY"	"NY_5389B"	42.5	0	0	0	43	1	2000	0	0	0.5	0.487312	3610	13032100	0	-61530.9018482135	44.2314987601	-74.467459614	53892	0	2000	0.489402136324039	0.489402136324039	"5389"	NA	NA
"2816"	"4989B"	"NY"	"NY_4989B"	17	1	1983	1983	10	1	2005	0	0	0.875	0.778178	3255	10595025	0	-50229.4931533527	44.2327360428	-74.9683345698	49892	0	2005	0.67325499235241	0.67325499235241	"4989"	NA	1
"2815"	"4989A"	"NY"	"NY_4989A"	18	0	0	1985	9	0	0	2005	0	0	0.947058	3010	9060100	0	-43667.7709156621	44.2327361626	-75.0309448709	49891	-1985	-2005	0.686662836674326	0.686662836674326	"4989"	0	0
"2663"	"4889B"	"NY"	"NY_4889B"	14	1	1984	1984	11.5	0	0	0	0	0	0.874001	2379	5659641	0	-46506.3529947654	44.2327018737	-75.0935547825	48892	0	0	0.516091532775545	0.516091532775545	"4889"	NA	1
"2662"	"4889A"	"NY"	"NY_4889A"	34	0	0	0	8	0	0	0	0	0	0.872108	2051	4206601	0	-46579.9042749404	44.2326332723	-75.1561645257	48891	0	0	0.569026871292514	0.569026871292514	"4889"	NA	NA
"3638"	"5489A"	"NY"	"NY_5489A"	17	0	0	0	34.5	1	2001	0	0	0.625	0.798589	3675	13505625	0	-49436.4370626759	44.2311891724	-74.4048542535	54891	0	2001	0.395449538389652	0.395449538389652	"5489"	NA	NA
"2522"	"4789B"	"NY"	"NY_4789B"	8.5	1	1984	1984	9.5	1	2005	0	0	0.875	0.851664	1645	2706025	0	-47374.2425590909	44.2325303583	-75.218773986	47892	0	2005	0.515724215686222	0.515724215686222	"4789"	NA	1
"2521"	"4789A"	"NY"	"NY_4789A"	19	0	0	1985	9	0	0	2004	0	0	0.877024	1701	2893401	0	-46388.896301702	44.2323930932	-75.2813826243	47891	-1985	-2004	0.585602929147538	0.585602929147538	"4789"	0	0
"2389"	"4689B"	"NY"	"NY_4689B"	11	1	1984	1984	9.5	1	2004	2004	0.125	0.625	0.8725	1440	2073600	0	-46564.6733706463	44.2322214698	-75.3439903272	46892	0	0	0.428400972219507	0.428400972219507	"4689"	1	1
"3639"	"5489B"	"NY"	"NY_5489B"	34	0	0	0	29	1	2001	0	0	0.75	0.822391	3834	14699556	0	-48511.6258789862	44.2308452826	-74.3422499503	54892	0	2001	0.366184247377644	0.366184247377644	"5489"	NA	NA
"2388"	"4689A"	"NY"	"NY_4689A"	24	1	1983	1983	13.5	1	2004	2004	0	0.75	0.819819	1342	1800964	0	-48611.5592612419	44.2320155362	-75.4065974132	46891	0	0	0.343429610053405	0.343429610053405	"4689"	1	1
"2265"	"4589B"	"NY"	"NY_4589B"	8	0	0	1985	35.5	1	2004	0	0	0.875	0.766733	1101	1212201	0	-50674.1811626514	44.2317752847	-75.4692037798	45892	-1985	2004	0.230635119871968	0.230635119871968	"4589"	NA	0
"3813"	"5589A"	"NY"	"NY_5589A"	34	0	0	0	19.5	0	0	2004	0	0	0.877879	4338	18818244	0	-46355.6758344281	44.2304670773	-74.2796468108	55891	0	-2004	0.508713625287666	0.508713625287666	"5589"	0	NA
"2264"	"4589A"	"NY"	"NY_4589A"	10	0	0	1985	41	1	2000	0	0	0.5	0.629181	905	819025	0	-56018.6743959461	44.2315000246	-75.5318100889	45891	-1985	2000	0.0883931665209466	0.0883931665209466	"4589"	NA	0
"3814"	"5589B"	"NY"	"NY_5589B"	46	1	1985	0	18	1	2004	0	0.5	1	0.903321	4736	22429696	0	-45367.1435205287	44.2300537731	-74.2170446249	55892	1985	2004	0.53141439629996	0.53141439629996	"5589"	NA	NA
"5099"	"6289B"	"NY"	"NY_6289B"	14	1	1982	0	4.5	0	0	0	0.5	0	0.243281	3666	13439556	9999.92982	-61012.6373490678	44.2206862513	-73.3408123512	62892	1982	0	0.659315150537488	0.659315150537488	"6289"	NA	NA
"2148"	"4489B"	"NY"	"NY_4489B"	9	0	0	0	27	0	0	0	0	0	0.342893	769	591361	0	-67142.2078870875	44.2311897932	-75.5944162095	44892	0	0	0	0	"4489"	NA	NA
"5098"	"6289A"	"NY"	"NY_6289A"	38	1	1981	0	37	0	0	2002	0.142857142857143	0	0.814448	522	272484	0	-48820.2459626786	44.221577168	-73.4033841353	62891	1981	-2002	0.604914213851225	0.604914213851225	"6289"	0	NA
"3995"	"5689A"	"NY"	"NY_5689A"	NA	1	1982	1982	3	0	0	2001	0.125	0	0.961117	4739	22458121	0	-43121.5176415048	44.2296053877	-74.1544435191	56891	0	-2001	0.655173313059439	0.655173313059439	"5689"	0	NA
"4963"	"6189B"	"NY"	"NY_6189B"	11	0	0	0	10	0	0	2000	0	0	0.544512	433	187489	0	-59308.4331604121	44.2224338253	-73.4659587541	61892	0	-2000	0.606177295500724	0.606177295500724	"6189"	0	NA
"2147"	"4489A"	"NY"	"NY_4489A"	14.5	0	0	0	3	0	0	0	0	0	0.498741	630	396900	0	-61086.8355084779	44.2308452563	-75.6570212686	44891	0	0	0	0	"4489"	NA	NA
"4962"	"6189A"	"NY"	"NY_6189A"	10	1	1983	0	131.5	0	0	0	0	0	0.823308	1379	1901641	0	-48475.9964421555	44.2232562403	-73.5285361988	61891	1983	0	0.495906801858431	0.495906801858431	"6189"	NA	NA
"2035"	"4389B"	"NY"	"NY_4389B"	10.5	0	0	1985	10.5	0	0	2003	0	0	0.301418	539	290521	0	-68753.6919574819	44.2304664061	-75.7196251193	43892	-1985	-2003	0	0	"4389"	NA	NA
"4774"	"6089B"	"NY"	"NY_6089B"	1	1	1983	0	21	1	2000	2000	0.125	0.875	0.809823	1437	2064969	0	-48999.9473207395	44.2240444102	-73.5911163919	60892	1983	0	0.447331164295975	0.447331164295975	"6089"	1	NA
"3996"	"5689B"	"NY"	"NY_5689B"	16	0	0	0	49	0	0	2005	0	0	0.989006	4791	22953681	0	-42037.9087388109	44.2291227061	-74.0918439135	56892	0	-2005	0.756729532719781	0.756729532719781	"5689"	0	NA
"4773"	"6089A"	"NY"	"NY_6089A"	16	1	1980	1980	25	0	0	2000	0	0	0.947908	3380	11424400	0	-43634.7447201266	44.2247983049	-73.6536990913	60891	0	-2000	0.533116561868277	0.533116561868277	"6089"	0	1
